"['mtdocs-conversion', 'ea9d5f20-5ff8-4bde-9718-3213ab8b20b6/doc.pdf', 'mt-picasso-asia-singapore', 'pathshala556677/pathshala/DOCUMENT210205114741143342339/doc.pdf']",exception while copying
"['mtdocs-conversion', '6a21087b-db01-46fc-88c1-c95fbee58e26/doc.pdf', 'mt-picasso-asia-singapore', 'pathshala556677/pathshala/DOCUMENT210205114741142243247/doc.pdf']",exception while copying
"['mtdocs-conversion', '2774b97e-b70c-4cf3-83d2-842215bb884e/doc.pdf', 'mt-picasso-asia-singapore', 'pathshala556677/pathshala/DOCUMENT210205114741142819277/doc.pdf']",exception while copying
"['mtdocs-conversion', 'b4635cba-15eb-4232-8ab8-7e51391fb23e/doc.pdf', 'mt-picasso-asia-singapore', 'pathshala556677/pathshala/DOCUMENT21020511474114139959/doc.pdf']",exception while copying
"['mtdocs-conversion', 'c839942e-a829-4715-bab3-e8014a0a380c/doc.pdf', 'mt-picasso-asia-singapore', 'pathshala556677/pathshala/DOCUMENT21020511474156813330/doc.pdf']",exception while copying
"['mtdocs-conversion', '9a9f3968-c981-4be2-8835-89052995e475/doc.pdf', 'mt-picasso-asia-singapore', 'pathshala556677/pathshala/DOCUMENT210205114741770403366/doc.pdf']",exception while copying
"['mtdocs-conversion', '4635573d-d061-417d-917b-f566874e6450/doc.pdf', 'mt-picasso-asia-singapore', 'pathshala556677/pathshala/DOCUMENT210205114741569750487/doc.pdf']",exception while copying
"['mtdocs-conversion', '1938e0e2-18b0-40c2-a7d7-7f1d9c8378c2/doc.pdf', 'mt-picasso-asia-singapore', 'pathshala556677/pathshala/DOCUMENT210205114741337804142/doc.pdf']",exception while copying
"['mtdocs-conversion', '280764b4-ca3c-4cc6-abdc-63eb008d1641/doc.pdf', 'mt-picasso-asia-singapore', 'pathshala556677/pathshala/DOCUMENT210205114741999591300/doc.pdf']",exception while copying
"['mtdocs-conversion', '6dd0a9fd-887a-4d3b-8444-5fb50b9406ab/doc.pdf', 'mt-picasso-asia-singapore', 'pathshala556677/pathshala/DOCUMENT210205114742000258440/doc.pdf']",exception while copying
